Apparent Power VA

entity_id,state,last_changed
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:15:07.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:15:15.681Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:15:21.683Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:15:31.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:15:37.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:15:43.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:15:49.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:15:55.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:16:01.473Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:16:07.482Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:16:13.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:16:21.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:16:29.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:16:41.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:16:49.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:16:55.480Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:17:01.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:17:11.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:17:17.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:17:31.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:17:37.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:18:07.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:18:13.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:18:27.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:18:33.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:18:43.680Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:18:51.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:18:57.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:19:03.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:19:13.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:19:19.673Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:19:27.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:19:33.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:19:43.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:19:49.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:20:09.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:20:15.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:20:21.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:20:31.512Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:20:51.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:21:01.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:21:09.481Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:21:15.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:21:23.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:21:31.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:21:47.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:21:53.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:22:03.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:22:09.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:22:15.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:22:21.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:22:27.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:22:35.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:22:43.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:22:49.680Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:23:01.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:23:07.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:23:19.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:23:25.477Z
